SNP	Assembly	Annotation_Chromosome	Annotation_Position	Allele_string	Most_severe_consequence	Gene_symbol	Gene_ID	Transcript_ID	Consequence	Impact	Biotype	Exon	Protein_position	Amino_acids
rs2873789					upstream_gene_variant	GMEB1		ENST00000373816	upstream_gene_variant	MODIFIER	protein_coding			
rs139751114					intron_variant	S100PBP		ENST00000356689	downstream_gene_variant	MODIFIER	processed_transcript			
rs139751114					intron_variant	S100PBP		ENST00000373475	intron_variant	MODIFIER	protein_coding			
rs139751114					intron_variant	S100PBP		ENST00000373476	intron_variant	MODIFIER	protein_coding			
rs139751114					intron_variant	S100PBP		ENST00000398243	downstream_gene_variant	MODIFIER	protein_coding			
rs139751114					intron_variant	S100PBP		ENST00000531123	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs11576244					intron_variant	THRAP3		ENST00000354618	intron_variant	MODIFIER	protein_coding			
rs11576244					intron_variant	THRAP3		ENST00000466743	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs11576244					intron_variant	THRAP3		ENST00000469141	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000289893	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000317713	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000361689	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000372915	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000372925	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000476350	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs188918325					intron_variant	MACF1		ENST00000530262	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000539005	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000545844	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000564288	intron_variant	MODIFIER	protein_coding			
rs188918325					intron_variant	MACF1		ENST00000567887	intron_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	SNORA55		ENST00000364587	upstream_gene_variant	MODIFIER	snoRNA			
rs3768321					intron_variant	PABPC4		ENST00000372856	intron_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	PABPC4		ENST00000372857	intron_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	PABPC4		ENST00000372858	intron_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	PABPC4		ENST00000372862	intron_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	RP11-69E11.8		ENST00000415255	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs3768321					intron_variant	PABPC4		ENST00000421687	intron_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	PABPC4		ENST00000451091	downstream_gene_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	PABPC4		ENST00000470443	intron_variant,NMD_transcript_variant	MODIFIER	nonsense_mediated_decay			
rs3768321					intron_variant	PABPC4		ENST00000474378	intron_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	PABPC4		ENST00000492519	upstream_gene_variant	MODIFIER	retained_intron			
rs3768321					intron_variant	PABPC4		ENST00000513632	upstream_gene_variant	MODIFIER	retained_intron			
rs3768321					intron_variant	PABPC4		ENST00000525669	upstream_gene_variant	MODIFIER	retained_intron			
rs3768321					intron_variant	PABPC4		ENST00000525751	intron_variant,non_coding_transcript_variant	MODIFIER	retained_intron			
rs3768321					intron_variant	PABPC4		ENST00000527718	upstream_gene_variant	MODIFIER	protein_coding			
rs3768321					intron_variant	PABPC4		ENST00000529216	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs35042446					missense_variant	RLF		ENST00000372771	missense_variant	MODERATE	protein_coding		957.0	G/D
rs35042446					missense_variant	RLF		ENST00000372771	missense_variant	MODERATE	protein_coding		957.0	G/A
rs4626927					upstream_gene_variant	RP11-630I5.1		ENST00000399997	downstream_gene_variant	MODIFIER	processed_pseudogene			
rs4626927					upstream_gene_variant	RP11-630I5.1		ENST00000463059	downstream_gene_variant	MODIFIER	processed_pseudogene			
rs4626927					upstream_gene_variant	MAST2		ENST00000470809	upstream_gene_variant	MODIFIER	processed_transcript			
rs2008713					upstream_gene_variant	TAL1		ENST00000371884	upstream_gene_variant	MODIFIER	protein_coding			
rs2008713					upstream_gene_variant	TAL1		ENST00000464796	upstream_gene_variant	MODIFIER	processed_transcript			
rs12063943					intron_variant	FAF1		ENST00000371778	intron_variant	MODIFIER	protein_coding			
rs12063943					intron_variant	FAF1		ENST00000396153	intron_variant	MODIFIER	protein_coding			
rs12063943					intron_variant	FAF1		ENST00000487898	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs12140915					intron_variant	DAB1		ENST00000371234	intron_variant	MODIFIER	protein_coding			
rs12140915					intron_variant	DAB1		ENST00000485760	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs12140153					missense_variant	INADL		ENST00000316485	missense_variant	MODERATE	protein_coding		1573.0	G/D
rs12140153					missense_variant	INADL		ENST00000316485	missense_variant	MODERATE	protein_coding		1573.0	G/V
rs12140153					missense_variant	INADL		ENST00000371158	missense_variant	MODERATE	protein_coding		1543.0	G/D
rs12140153					missense_variant	INADL		ENST00000371158	missense_variant	MODERATE	protein_coding		1543.0	G/V
rs12140153					missense_variant	INADL		ENST00000459752	non_coding_transcript_exon_variant	MODIFIER	retained_intron			
rs12140153					missense_variant	INADL		ENST00000465798	non_coding_transcript_exon_variant	MODIFIER	processed_transcript			
rs12140153					missense_variant	INADL		ENST00000484562	non_coding_transcript_exon_variant	MODIFIER	retained_intron			
rs12140153					missense_variant	INADL		ENST00000484937	missense_variant,NMD_transcript_variant	MODERATE	nonsense_mediated_decay		1002.0	G/D
rs12140153					missense_variant	INADL		ENST00000484937	missense_variant,NMD_transcript_variant	MODERATE	nonsense_mediated_decay		1002.0	G/V
rs12140153					missense_variant	INADL		ENST00000543708	missense_variant	MODERATE	protein_coding		357.0	G/D
rs12140153					missense_variant	INADL		ENST00000543708	missense_variant	MODERATE	protein_coding		357.0	G/V
rs12140153					missense_variant	INADL		ENST00000545929	missense_variant	MODERATE	protein_coding		188.0	G/D
rs12140153					missense_variant	INADL		ENST00000545929	missense_variant	MODERATE	protein_coding		188.0	G/V
rs2269247					intron_variant	PGM1		ENST00000371083	intron_variant	MODIFIER	protein_coding			
rs2269247					intron_variant	PGM1		ENST00000371084	intron_variant	MODIFIER	protein_coding			
rs2269247					intron_variant	PGM1		ENST00000540265	intron_variant	MODIFIER	protein_coding			
rs10789175					intron_variant	AK4		ENST00000327299	intron_variant	MODIFIER	protein_coding			
rs10789175					intron_variant	AK4		ENST00000395334	intron_variant	MODIFIER	protein_coding			
rs10789175					intron_variant	AK4		ENST00000470888	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10789175					intron_variant	AK4		ENST00000474968	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10789175					intron_variant	AK4		ENST00000479060	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10789175					intron_variant	AK4		ENST00000497030	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10789175					intron_variant	AK4		ENST00000545314	intron_variant	MODIFIER	protein_coding			
rs10789175					intron_variant	AK4		ENST00000546702	intron_variant	MODIFIER	protein_coding			
rs1571151					intron_variant	LEPR		ENST00000344610	intron_variant	MODIFIER	protein_coding			
rs1571151					intron_variant	LEPR		ENST00000349533	intron_variant	MODIFIER	protein_coding			
rs1571151					intron_variant	LEPR		ENST00000371059	intron_variant	MODIFIER	protein_coding			
rs1571151					intron_variant	LEPR		ENST00000371060	intron_variant	MODIFIER	protein_coding			
rs1571151					intron_variant	LEPR		ENST00000406510	intron_variant	MODIFIER	protein_coding			
rs1571151					intron_variant	LEPR		ENST00000462765	upstream_gene_variant	MODIFIER	processed_transcript			
rs2815749					intergenic_variant				intergenic_variant					
rs4970658					intergenic_variant				intergenic_variant					
rs6692233					upstream_gene_variant	TTLL7		ENST00000260505	downstream_gene_variant	MODIFIER	protein_coding			
rs6692233					upstream_gene_variant	RP11-475O6.1		ENST00000413975	upstream_gene_variant	MODIFIER	lincRNA			
rs6692233					upstream_gene_variant	RP11-475O6.1		ENST00000417565	upstream_gene_variant	MODIFIER	lincRNA			
rs6692233					upstream_gene_variant	RP11-475O6.1		ENST00000417975	upstream_gene_variant	MODIFIER	lincRNA			
rs6692233					upstream_gene_variant	RP11-475O6.1		ENST00000419733	upstream_gene_variant	MODIFIER	lincRNA			
rs6692233					upstream_gene_variant	RP11-475O6.1		ENST00000457273	upstream_gene_variant	MODIFIER	lincRNA			
rs6692233					upstream_gene_variant	TTLL7		ENST00000472688	downstream_gene_variant	MODIFIER	processed_transcript			
rs6692233					upstream_gene_variant	TTLL7		ENST00000474957	downstream_gene_variant	MODIFIER	nonsense_mediated_decay			
rs6692233					upstream_gene_variant	TTLL7		ENST00000477524	downstream_gene_variant	MODIFIER	processed_transcript			
rs6692233					upstream_gene_variant	TTLL7		ENST00000480174	downstream_gene_variant	MODIFIER	nonsense_mediated_decay			
rs6692233					upstream_gene_variant	TTLL7		ENST00000488014	downstream_gene_variant	MODIFIER	processed_transcript			
rs6604014					intron_variant	EVI5		ENST00000370331	intron_variant	MODIFIER	protein_coding			
rs6604014					intron_variant	RP11-330C7.4		ENST00000429959	upstream_gene_variant	MODIFIER	processed_pseudogene			
rs6604014					intron_variant	EVI5		ENST00000466778	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs6604014					intron_variant	EVI5		ENST00000474806	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs6604014					intron_variant	EVI5		ENST00000540033	intron_variant	MODIFIER	protein_coding			
rs6604014					intron_variant	EVI5		ENST00000543509	intron_variant	MODIFIER	protein_coding			
rs11165431					intergenic_variant				intergenic_variant					
rs321234					intron_variant	RP11-147C23.1		ENST00000412513	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs321234					intron_variant	RP11-147C23.1		ENST00000413825	intron_variant	MODIFIER	protein_coding			
rs321234					intron_variant	RP11-147C23.1		ENST00000442558	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs321234					intron_variant	RP11-147C23.1		ENST00000451675	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs321234					intron_variant	RP11-147C23.1		ENST00000593954	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs321234					intron_variant	RP11-147C23.1		ENST00000595613	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs321234					intron_variant	RP11-147C23.1		ENST00000598129	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs321234					intron_variant	RP11-147C23.1		ENST00000598612	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs12757257					intergenic_variant				intergenic_variant					
rs1410467					intergenic_variant				intergenic_variant					
rs6577334					intergenic_variant				intergenic_variant					
rs12066815					intron_variant	NTNG1		ENST00000294649	intron_variant,non_coding_transcript_variant	MODIFIER	retained_intron			
rs12066815					intron_variant	NTNG1		ENST00000370061	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370065	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370066	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370067	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370068	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370070	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370071	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370072	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370073	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000370074	intron_variant	MODIFIER	protein_coding			
rs12066815					intron_variant	NTNG1		ENST00000542803	intron_variant	MODIFIER	protein_coding			
rs333947					intron_variant	CSF1		ENST00000329608	intron_variant	MODIFIER	protein_coding			
rs333947					intron_variant	CSF1		ENST00000344188	intron_variant	MODIFIER	protein_coding			
rs333947					intron_variant	CSF1		ENST00000369801	downstream_gene_variant	MODIFIER	protein_coding			
rs333947					intron_variant	CSF1		ENST00000369802	downstream_gene_variant	MODIFIER	protein_coding			
rs333947					intron_variant	CSF1		ENST00000420111	intron_variant	MODIFIER	protein_coding			
rs333947					intron_variant	CSF1		ENST00000488198	downstream_gene_variant	MODIFIER	protein_coding			
rs12033257					3_prime_UTR_variant	KCND3		ENST00000302127	3_prime_UTR_variant	MODIFIER	protein_coding			
rs12033257					3_prime_UTR_variant	KCND3		ENST00000315987	3_prime_UTR_variant	MODIFIER	protein_coding			
rs12033257					3_prime_UTR_variant	KCND3		ENST00000369697	3_prime_UTR_variant	MODIFIER	protein_coding			
rs1127215					3_prime_UTR_variant	PTGFRN		ENST00000393203	3_prime_UTR_variant	MODIFIER	protein_coding			
rs1127215					3_prime_UTR_variant	PTGFRN		ENST00000497385	non_coding_transcript_exon_variant	MODIFIER	processed_transcript			
rs1146297					5_prime_UTR_variant	MAN1A2		ENST00000356554	5_prime_UTR_variant	MODIFIER	protein_coding			
rs1146297					5_prime_UTR_variant	MAN1A2		ENST00000482811	non_coding_transcript_exon_variant	MODIFIER	processed_transcript			
rs1146297					5_prime_UTR_variant	RP11-188D8.1		ENST00000604156	upstream_gene_variant	MODIFIER	lincRNA			
rs320369					intron_variant	AL157902.3		ENST00000425010	downstream_gene_variant	MODIFIER	antisense			
rs320369					intron_variant	AL157902.3		ENST00000440801	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs320369					intron_variant	AL157902.3		ENST00000456126	downstream_gene_variant	MODIFIER	antisense			
rs2493389					downstream_gene_variant	AL512503.1		ENST00000579475	downstream_gene_variant	MODIFIER	protein_coding			
rs2493389					intron_variant	NOTCH2		ENST00000256646	intron_variant	MODIFIER	protein_coding			
rs2493389					intron_variant	NOTCH2		ENST00000478864	downstream_gene_variant	MODIFIER	processed_transcript			
rs59689207					intron_variant	CHD1L		ENST00000579109	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000579763	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000580988	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs59689207					intron_variant	CHD1L		ENST00000581543	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs59689207					intron_variant	CHD1L		ENST00000582612	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000582670	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs59689207					intron_variant	CHD1L		ENST00000583055	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000361293	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000369258	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000369259	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000431239	intron_variant	MODIFIER	protein_coding			
rs59689207					intron_variant	CHD1L		ENST00000467213	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs59689207					intron_variant	CHD1L		ENST00000488864	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs59689207					intron_variant	CHD1L		ENST00000492728	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs80296758					downstream_gene_variant	BCL9		ENST00000585295	downstream_gene_variant	MODIFIER	protein_coding			
rs80296758					downstream_gene_variant	BCL9		ENST00000234739	downstream_gene_variant	MODIFIER	protein_coding			
rs80296758					downstream_gene_variant	ACP6		ENST00000609196	downstream_gene_variant	MODIFIER	protein_coding			
rs12758483					intergenic_variant				intergenic_variant					
rs116279971					intron_variant	HORMAD1		ENST00000322343	intron_variant	MODIFIER	protein_coding			
rs116279971					intron_variant	HORMAD1		ENST00000361824	intron_variant	MODIFIER	protein_coding			
rs116279971					intron_variant	HORMAD1		ENST00000368987	intron_variant	MODIFIER	protein_coding			
rs116279971					intron_variant	HORMAD1		ENST00000368993	intron_variant	MODIFIER	protein_coding			
rs116279971					intron_variant	HORMAD1		ENST00000368995	intron_variant	MODIFIER	protein_coding			
rs116279971					intron_variant	HORMAD1		ENST00000442853	intron_variant	MODIFIER	protein_coding			
rs116279971					intron_variant	HORMAD1		ENST00000476530	downstream_gene_variant	MODIFIER	processed_transcript			
rs35550545					intron_variant	PRUNE		ENST00000271619	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	PRUNE		ENST00000271620	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	RNU6-884P		ENST00000363889	upstream_gene_variant	MODIFIER	snRNA			
rs35550545					intron_variant	PRUNE		ENST00000368934	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	PRUNE		ENST00000368935	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	PRUNE		ENST00000368936	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	PRUNE		ENST00000368937	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	PRUNE		ENST00000431193	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	PRUNE		ENST00000450884	intron_variant	MODIFIER	protein_coding			
rs35550545					intron_variant	PRUNE		ENST00000462440	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs35550545					intron_variant	PRUNE		ENST00000467771	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs35550545					intron_variant	PRUNE		ENST00000475722	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs4971038					intergenic_variant				intergenic_variant					
rs1685635					upstream_gene_variant	AQP10		ENST00000324978	upstream_gene_variant	MODIFIER	protein_coding			
rs1685635					upstream_gene_variant	AQP10		ENST00000355197	upstream_gene_variant	MODIFIER	processed_transcript			
rs1685635					upstream_gene_variant	AQP10		ENST00000484864	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	FDPS		ENST00000356657	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	FDPS		ENST00000368356	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	FDPS		ENST00000447866	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	FDPS		ENST00000461507	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000465559	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000467076	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000468479	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000470171	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000471117	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000474345	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000477057	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000487002	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000489003	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000491013	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	FDPS		ENST00000495308	upstream_gene_variant	MODIFIER	processed_transcript			
rs4971072					upstream_gene_variant	PKLR		ENST00000571194	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	PKLR		ENST00000572740	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	PKLR		ENST00000573938	upstream_gene_variant	MODIFIER	nonsense_mediated_decay			
rs4971072					upstream_gene_variant	PKLR		ENST00000342741	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	PKLR		ENST00000392414	upstream_gene_variant	MODIFIER	protein_coding			
rs4971072					upstream_gene_variant	PKLR		ENST00000434082	upstream_gene_variant	MODIFIER	nonsense_mediated_decay			
rs2227199					intron_variant	DNM3		ENST00000355305	intron_variant	MODIFIER	protein_coding			
rs2227199					intron_variant	DNM3		ENST00000358155	intron_variant	MODIFIER	protein_coding			
rs2227199					intron_variant	DNM3		ENST00000367731	intron_variant	MODIFIER	protein_coding			
rs2227199					intron_variant	PIGC		ENST00000475059	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs2227199					intron_variant	PIGC		ENST00000484368	downstream_gene_variant	MODIFIER	processed_transcript			
rs2227199					intron_variant	DNM3		ENST00000485254	intron_variant	MODIFIER	protein_coding			
rs2227199					intron_variant	PIGC		ENST00000489002	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs2227199					intron_variant	DNM3		ENST00000491124	downstream_gene_variant	MODIFIER	retained_intron			
rs539515					downstream_gene_variant	SEC16B		ENST00000441371	downstream_gene_variant	MODIFIER	processed_transcript			
rs74128490					intron_variant	SEC16B		ENST00000308284	intron_variant	MODIFIER	protein_coding			
rs74128490					intron_variant	SEC16B		ENST00000327037	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs74128490					intron_variant	SEC16B		ENST00000464631	intron_variant	MODIFIER	protein_coding			
rs74128490					intron_variant	SEC16B		ENST00000526773	intron_variant,non_coding_transcript_variant	MODIFIER	retained_intron			
rs74128490					intron_variant	SEC16B		ENST00000527976	intron_variant	MODIFIER	protein_coding			
rs74128490					intron_variant	SEC16B		ENST00000528461	intron_variant,NMD_transcript_variant	MODIFIER	nonsense_mediated_decay			
rs2816177					intergenic_variant				intergenic_variant					
rs4129858					intron_variant	LAMC1		ENST00000258341	intron_variant	MODIFIER	protein_coding			
rs1327123					intergenic_variant				intergenic_variant					
rs12025652					intergenic_variant				intergenic_variant					
rs12128213					intergenic_variant				intergenic_variant					
rs10919896					upstream_gene_variant	RP11-532L16.1		ENST00000425737	upstream_gene_variant	MODIFIER	processed_pseudogene			
rs10920270					upstream_gene_variant	IPO9		ENST00000361565	downstream_gene_variant	MODIFIER	protein_coding			
rs10920270					upstream_gene_variant	SHISA4		ENST00000362011	upstream_gene_variant	MODIFIER	protein_coding			
rs10920270					upstream_gene_variant	SHISA4		ENST00000464117	upstream_gene_variant	MODIFIER	processed_transcript			
rs10920270					upstream_gene_variant	SHISA4		ENST00000481699	upstream_gene_variant	MODIFIER	processed_transcript			
rs13303359					intergenic_variant				intergenic_variant					
rs6689629					intron_variant	MDM4		ENST00000507825	intron_variant	MODIFIER	protein_coding			
rs4951159					upstream_gene_variant	CNTN2		ENST00000331830	upstream_gene_variant	MODIFIER	protein_coding			
rs4950978					intron_variant	CNTN2		ENST00000331830	intron_variant	MODIFIER	protein_coding			
rs4950978					intron_variant	CNTN2		ENST00000481872	upstream_gene_variant	MODIFIER	retained_intron			
rs4950978					intron_variant	CNTN2		ENST00000530117	upstream_gene_variant	MODIFIER	retained_intron			
rs4950978					intron_variant	CNTN2		ENST00000532366	upstream_gene_variant	MODIFIER	retained_intron			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000235932	3_prime_UTR_variant	MODIFIER	protein_coding			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000367139	3_prime_UTR_variant	MODIFIER	protein_coding			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000414729	downstream_gene_variant	MODIFIER	protein_coding			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000437324	3_prime_UTR_variant	MODIFIER	protein_coding			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000446390	3_prime_UTR_variant	MODIFIER	protein_coding			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000468887	downstream_gene_variant	MODIFIER	processed_transcript			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000492534	downstream_gene_variant	MODIFIER	retained_intron			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000528078	3_prime_UTR_variant,NMD_transcript_variant	MODIFIER	nonsense_mediated_decay			
rs708723					3_prime_UTR_variant	RAB7L1		ENST00000533111	downstream_gene_variant	MODIFIER	processed_transcript			
rs11120291					intron_variant	SRGAP2		ENST00000573034	intron_variant	MODIFIER	protein_coding			
rs11120291					intron_variant	SRGAP2		ENST00000604419	intron_variant,non_coding_transcript_variant	MODIFIER	retained_intron			
rs11120291					intron_variant	SRGAP2		ENST00000604925	intron_variant	MODIFIER	protein_coding			
rs11120291					intron_variant	SRGAP2		ENST00000605476	intron_variant	MODIFIER	protein_coding			
rs11120291					intron_variant	SRGAP2		ENST00000605610	intron_variant	MODIFIER	protein_coding			
rs11120291					intron_variant	SRGAP2		ENST00000295713	intron_variant	MODIFIER	protein_coding			
