Query_SNP	DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
rs1044531	2024-06-28	37867527	Roshandel D	2023-10-05	Front Endocrinol (Lausanne)	www.ncbi.nlm.nih.gov/pubmed/37867527	Beyond apples and pears: sex-specific genetics of body fat percentage.	Body fat percentage (adjusted for testosterone and SHBG)	157,937 British ancestry males	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-?	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	2E-8	7.698970004336019		0.18	[0.12-0.24] unit decrease	NR [23799137] (imputed)	N	body fat percentage	http://www.ebi.ac.uk/efo/EFO_0007800	GCST90432179	Genome-wide genotyping array
rs1044531	2025-08-29	40436827	Jee YH	2025-05-28	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/40436827	Genome-wide association studies in a large Korean cohort identify quantitative trait loci for 36 traits and illuminate their genetic architectures.	High-density lipoprotein levels	507,850 East Asian ancestry individuals, 420,829 European ancestry individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	4E-14	13.397940008672037		0.0345	[0.025-0.044] unit increase	NR [NR] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST90662894	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Cholesterol in Large HDL	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	1E-12	12.0		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	cholesterol in large HDL measurement	http://www.ebi.ac.uk/efo/EFO_0021900	GCST90501134	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Cholesteryl Esters in Large HDL	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	6E-13	12.221848749616356		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	cholesteryl esters in large HDL measurement	http://www.ebi.ac.uk/efo/EFO_0022159	GCST90501136	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Cholesteryl Esters in HDL	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	3E-14	13.522878745280337		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	cholesteryl esters in HDL measurement	http://www.ebi.ac.uk/efo/EFO_0920022	GCST90501113	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	HDL cholesterol levels	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	1E-13	13.0		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	HDL cholesterol change measurement	http://www.ebi.ac.uk/efo/EFO_0007805	GCST90501112	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Average diameter for HDL particles	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	6E-11	10.221848749616356		0.02	[0.02-0.02] nm increase	NR [10413938] (imputed)	N	HDL particle size	http://purl.obolibrary.org/obo/OBA_2050115	GCST90501118	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Triglycerides to Total Lipids in Small HDL percentage	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	5E-11	10.301029995663981		0.02	[0.02-0.02] % decrease	NR [10413938] (imputed)	N	triglycerides to total lipids in small HDL percentage	http://www.ebi.ac.uk/efo/EFO_0022336	GCST90501245	Genome-wide genotyping array
rs1048155	2025-08-29	40436827	Jee YH	2025-05-28	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/40436827	Genome-wide association studies in a large Korean cohort identify quantitative trait loci for 36 traits and illuminate their genetic architectures.	Albumin levels	507,850 East Asian ancestry individuals, 420,829 European ancestry individuals	NA	12p12.1	12	26120155		BHLHE41			ENSG00000123095			rs1048155-C	rs1048155	0	1048155	3_prime_UTR_variant	0	NR	9E-9	8.045757490560675		0.0103	[0.0068-0.0138] unit decrease	NR [NR] (imputed)	N	serum albumin amount	http://purl.obolibrary.org/obo/OBA_2050068	GCST90662901	Genome-wide genotyping array
rs1048155	2025-01-10	38374256	Suzuki K	2024-02-19	Nature	www.ncbi.nlm.nih.gov/pubmed/38374256	Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.	Type 2 diabetes	50,251 African American cases, 103,909 African American controls, 88,109 East Asian ancestry cases, 339,395 East Asian ancestry controls, 242,283 European ancestry cases, 1,569,734 European ancestry controls, 29,375 Hispanic cases, 59,368 Hispanic controls, 1,602 South African ancestry cases, 976 South African ancestry controls, 16,832 South Asian ancestry cases, 33,767 South Asian ancestry controls	NA	12p12.1	12	26120155		BHLHE41			ENSG00000123095			rs1048155-G	rs1048155	0	1048155	3_prime_UTR_variant	0	0.58784	2E-9	8.698970004336019				Affymetrix, Illumina [NR] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90492734	Genome-wide genotyping array
rs12140153	2019-11-04	30239722	Pulit SL	2018-09-14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30239722	Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.	Waist-hip ratio	697,734 European ancestry individuals	NA	1p31.3	1	62114219	NA	PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	0.091	8E-10	9.096910013008056		0.0214	[0.015-0.028] unit decrease	NR [~ 27400000] (imputed)	N	waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0004343	GCST008996	Genome-wide genotyping array
rs12140153	2019-11-05	30239722	Pulit SL	2018-09-14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30239722	Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.	Body mass index	806,834 European ancestry individuals	NA	1p31.3	1	62114219	NA	PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	0.0911	1E-25	25.0		0.0353	[0.029-0.042] unit decrease	NR [~ 27400000] (imputed)	N	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST009004	Genome-wide genotyping array
rs12140153	2020-01-08	30297969	Mahajan A	2018-10-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30297969	Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps.	Type 2 diabetes	74,124 European ancestry cases, 824,006 European ancestry controls	NA	1p31.3	1	62114219	PATJ	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	0.9051	1E-8	8.0		1.07	[1.04-1.09]	Affymetrix, Illumina [~ 27000000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST009379	Genome-wide genotyping array
rs12140153	2019-11-05	30239722	Pulit SL	2018-09-14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30239722	Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.	Body mass index	434,794 European ancestry female individuals	NA	1p31.3	1	62114219	NA	PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	0.0911	1E-25	25.0		0.0353	[0.029-0.042] unit decrease	NR [~ 27400000] (imputed)	N	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST009003	Genome-wide genotyping array
rs12140153	2019-11-04	30239722	Pulit SL	2018-09-14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30239722	Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.	Body mass index	374,756 European ancestry male individuals	NA	1p31.3	1	62114219	NA	PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	0.0911	1E-25	25.0		0.0353	[0.029-0.042] unit decrease	NR [~ 27400000] (imputed)	N	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST009001	Genome-wide genotyping array
rs12140153	2017-03-30	27494321	Jones SE	2016-08-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27494321	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci.	Chronotype	127,898 British individuals	89,283 individuals	1p31.3	1	62114219	INADL	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	0.9	3E-8	7.522878745280337		0.039	[0.025-0.053] unit increase	NR [16760980] (imputed)	N	circadian rhythm	http://purl.obolibrary.org/obo/GO_0007623	GCST003837	Genome-wide genotyping array
rs12140153	2017-03-30	27494321	Jones SE	2016-08-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27494321	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci.	Morning vs. evening chronotype	114,765 British individuals	NA	1p31.3	1	62114219	INADL	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	0.9	4E-6	5.3979400086720375		1.07	[1.04-1.1]	NR [16760980] (imputed)	N	circadian rhythm	http://purl.obolibrary.org/obo/GO_0007623	GCST003838	Genome-wide genotyping array
rs12140153	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Excessive daytime sleepiness	111,648 European ancestry individuals	NA	1p31.3	1	62114219	PATJ	PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	0.099	7E-7	6.154901959985743		0.036	unit decrease	Affymetrix [up to 73355677] (imputed)	N	excessive daytime sleepiness measurement	http://www.ebi.ac.uk/efo/EFO_0007875	GCST003979	Genome-wide genotyping array
rs12140153	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep traits (multi-trait analysis)	At least 112,586 European ancestry individuals	NA	1p31.3	1	62114219	PATJ	PATJ			ENSG00000132849			rs12140153-?	rs12140153	0	12140153	missense_variant	0	0.099	1E-10	10.0				Affymetrix [up to 73355677] (imputed)	N	circadian rhythm, excessive daytime sleepiness measurement, sleep duration trait, insomnia measurement	http://purl.obolibrary.org/obo/GO_0007623, http://www.ebi.ac.uk/efo/EFO_0007875, http://purl.obolibrary.org/obo/OBA_2040171, http://www.ebi.ac.uk/efo/EFO_0007876	GCST003982	Genome-wide genotyping array
rs12140153	2019-04-15	30696823	Jones SE	2019-01-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30696823	Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms.	Chronotype	449,734  European ancestry individuals	248,098 European ancestry individuals	1p31.3	1	62114219	INADL	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	0.9108	7E-19	18.154901959985743		1.0622613		Affymetrix [11880941] (imputed)	N	chronotype measurement	http://www.ebi.ac.uk/efo/EFO_0008328	GCST007576	Genome-wide genotyping array
rs12140153	2019-04-12	30696823	Jones SE	2019-01-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30696823	Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms.	Morning person	252,287 European ancestry cases, 150,908 European ancestry controls	120,478 European ancestry cases, 127,622 European ancestry controls	1p31.3	1	62114219	INADL	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	0.9108	7E-19	18.154901959985743		1.0558547		Affymetrix [11880941] (imputed)	N	chronotype measurement	http://www.ebi.ac.uk/efo/EFO_0008328	GCST007565	Genome-wide genotyping array
rs12140153	2019-02-06	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Body mass index	approximately 458,000 European ancestry individuals	NA	1p31.3	1	62114219		PATJ			ENSG00000132849			rs12140153-?	rs12140153	0	12140153	missense_variant	0	NR	8E-27	26.096910013008056				NR [~ 8900000] (imputed)	N	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST007039	Genome-wide genotyping array
rs12140153	2019-02-08	30593698	Hubel C	2018-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30593698	Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.	Body fat percentage	70,700 European ancestry female individuals, 85,261 European ancestry male individuals	NA	1p31.3	1	62114219	NR	PATJ			ENSG00000132849			rs12140153-?	rs12140153	0	12140153	missense_variant	0	NR	1E-9	9.0	(male)	0.27562	[0.19-0.36] unit decrease	Affymetrix [7794483] (imputed)	N	body fat percentage	http://www.ebi.ac.uk/efo/EFO_0007800	GCST007064	Genome-wide genotyping array
rs12140153	2019-02-08	30593698	Hubel C	2018-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30593698	Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.	Body fat percentage	70,700 European ancestry female individuals, 85,261 European ancestry male individuals	NA	1p31.3	1	62114219	NR	PATJ			ENSG00000132849			rs12140153-?	rs12140153	0	12140153	missense_variant	0	NR	8E-8	7.096910013008056		0.19796	[0.13-0.27] unit decrease	Affymetrix [7794483] (imputed)	N	body fat percentage	http://www.ebi.ac.uk/efo/EFO_0007800	GCST007064	Genome-wide genotyping array
rs12140153	2019-06-25	30804565	Jansen PR	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804565	Genome-wide analysis of insomnia in 1,331,010 individuals identifies new risk loci and functional pathways.	Morningness	434,835 European ancestry individuals	NA	1p31.3	1	62114219		PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	0.0877	5E-12	11.301029995663981		0.027	[0.019-0.035] unit decrease	Affymetrix, Illumina [11597492] (imputed)	N	chronotype measurement	http://www.ebi.ac.uk/efo/EFO_0008328	GCST007983	Genome-wide genotyping array
rs12140153	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Morning person	approximately 410,000 European ancestry individuals	NA	1p31.3	1	62114219		PATJ			ENSG00000132849			rs12140153-?	rs12140153	0	12140153	missense_variant	0	NR	3E-10	9.522878745280337				NR [~ 8900000] (imputed)	N	chronotype measurement	http://www.ebi.ac.uk/efo/EFO_0008328	GCST007083	Genome-wide genotyping array
rs12140153	2021-04-15	33568662	Dashti HS	2021-02-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33568662	Genetic determinants of daytime napping and effects on cardiometabolic health.	Daytime nap	452,633 European ancestry individuals	541,333 European ancestry individuals	1p31.3	1	62114219	PATJ	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	NR	7E-41	40.15490195998574		0.0211	[0.018-0.024] unit increase	Affymetrix [13304133] (imputed)	N	daytime rest measurement	http://www.ebi.ac.uk/efo/EFO_0007828	GCST011494	Genome-wide genotyping array
rs12140153	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Body mass index	359,983 European ancestry individuals, 163,835 East Asian ancestry individuals	NA	1p31.3	1	62114219		PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	NR	6E-16	15.221848749616356		0.0328	[0.025-0.041] unit decrease	Affymetrix, Illumina [20538802] (imputed)	N	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST90018947	Genome-wide genotyping array
rs12140153	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Alanine aminotransferase levels	344,136 European ancestry individuals, 150,545 East Asian ancestry individuals	NA	1p31.3	1	62114219		PATJ			ENSG00000132849			rs12140153-T	rs12140153	0	12140153	missense_variant	0	NR	5E-8	7.301029995663981		0.0212	[0.014-0.029] unit decrease	Affymetrix, Illumina [20538387] (imputed)	N	serum alanine aminotransferase amount	http://purl.obolibrary.org/obo/OBA_2050062	GCST90018943	Genome-wide genotyping array
rs12140153	2020-03-23	31900758	Han X	2020-01-03	Eur J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/31900758	Using Mendelian randomization to evaluate the causal relationship between serum C-reactive protein levels and age-related macular degeneration.	C-reactive protein levels	418,642 British ancestry individuals	NA	1p31.3	1	62114219	NR	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	0.904289	3E-8	7.522878745280337		0.018959	[0.012-0.026] unit increase	NR [NR]	N	C-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	GCST009777	Genome-wide genotyping array
rs12140153	2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Body mass index	457,822 European ancestry individuals	NA	1p31.3	1	62114219	NR	PATJ			ENSG00000132849			rs12140153-?	rs12140153	0	12140153	missense_variant	0	NR	4E-26	25.397940008672037				Affymetrix [~ 8270000] (imputed)	N	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST009871	Genome-wide genotyping array
rs12140153	2020-09-14	32541925	Vujkovic M	2020-06-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/32541925	Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.	Type 2 diabetes	148,726 European ancestry cases, 24,646 African American cases, 8,616 Hispanic cases, 46,511 Asian ancestry cases, 965,732 European ancestry controls, 31,446 African American controls, 11,829 Hispanic controls, 169,776 Asian ancestry controls	NA	1p31.3	1	62114219	NR	PATJ			ENSG00000132849			rs12140153-G	rs12140153	0	12140153	missense_variant	0	0.9128	5E-8	7.301029995663981		0.0453	[0.029-0.062] unit increase	Affymetrix, Illumina [at least 945603] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST010557	Genome-wide genotyping array
